GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,AfterInsertProcessor,3,17,1,1,1,6,1,2,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,PutFromLoadProcessor,3,23,2,2,1,7,2,2,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,SoftLockItemProcessor,0,29,0,2,0,10,0,3,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,SoftUnlockItemProcessor,0,28,0,2,0,9,0,3,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,AfterUpdateProcessor,10,36,2,2,3,11,2,2,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,ReadWritePutFromLoadProcessor,14,36,2,4,2,13,2,3,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access.processor,GetProcessor,2,18,1,3,1,6,1,3,0,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceNonstrictReadWriteEntityAccess,7,129,4,4,2,18,6,7,2,7
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadWriteEntityAccess,82,58,4,4,5,13,5,8,1,8
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceNonstrictReadWriteNaturalIdAccess,5,80,4,4,1,19,5,8,1,8
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceStorageAccessImpl,7,33,0,0,4,12,3,7,3,7
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadWriteNaturalIdAccess,46,43,6,2,8,10,8,5,4,5
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadOnlyEntityAccess,7,134,4,4,2,17,6,7,2,7
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,AbstractReadWriteCoherenceEntityDataAccess,0,172,4,4,0,30,4,9,0,9
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,AbstractCoherenceEntityDataAccess,73,221,13,13,11,59,15,21,3,20
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadWriteCollectionAccess,5,16,0,0,1,4,1,3,1,3
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceNonstrictReadWriteCollectionAccess,5,16,0,0,1,4,1,3,1,3
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadOnlyCollectionAccess,5,16,0,0,1,4,1,3,1,3
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceDomainDataRegionImpl,30,118,6,7,2,23,6,13,0,11
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.access,CoherenceReadOnlyNaturalIdAccess,43,47,6,2,7,12,7,6,3,6
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.region,CoherenceRegionValue,178,96,28,10,32,25,26,7,7,7
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.region,CoherenceRegion,56,241,17,19,16,60,19,22,5,18
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.region,CoherenceRegionValue.SoftLock,27,73,5,5,7,17,6,4,1,4
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7,CoherenceRegionFactory,63,230,13,17,13,65,11,23,1,18
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.configuration.support,StringUtils,10,27,4,6,3,5,5,3,1,2
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.configuration.support,ConfigUtils,115,0,2,0,19,0,4,0,3,0
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.configuration.support,CoherenceHibernateSystemPropertyResolver,14,112,6,12,3,31,6,10,0,7
Coherence Hibernate Website/coherence-hibernate-cache-7,com.oracle.coherence.hibernate.cache.v7.configuration.support,CoherenceHibernateProperties,21,163,8,20,2,47,8,13,0,7
